-200  -200 0
-190  -200 0
-180  -200 0
-170  -200 0
-160  -200 0
-150  -200 0
-140  -200 0
-130  -200 0
-120  -200 0
-110  -200 0
-100  -200 0
-90  -200 0
-80  -200 0
-70  -200 0
-60  -200 0
-50  -200 0
-40  -200 0
-30  -200 0
-20  -200 0
-10  -200 0
0  -200 0
10  -200 0
20  -200 0
30  -200 0
40  -200 0
50  -200 0
60  -200 0
70  -200 0
80  -200 0
90  -200 0
100  -200 0
110  -200 0
120  -200 0
130  -200 0
140  -200 0
150  -200 0
160  -200 0
170  -200 0
180  -200 0
190  -200 0
200  -200 0

-200  -190 0
-190  -190 0
-180  -190 0
-170  -190 0
-160  -190 0
-150  -190 0
-140  -190 0
-130  -190 0
-120  -190 0
-110  -190 0
-100  -190 0
-90  -190 0
-80  -190 0
-70  -190 0
-60  -190 0
-50  -190 0
-40  -190 0
-30  -190 0
-20  -190 0
-10  -190 0
0  -190 0
10  -190 0
20  -190 0
30  -190 0
40  -190 0
50  -190 0
60  -190 0
70  -190 0
80  -190 0
90  -190 0
100  -190 0
110  -190 0
120  -190 0
130  -190 0
140  -190 0
150  -190 0
160  -190 0
170  -190 0
180  -190 0
190  -190 0
200  -190 0

-200  -180 0
-190  -180 0
-180  -180 0
-170  -180 0
-160  -180 0
-150  -180 0
-140  -180 0
-130  -180 0
-120  -180 0
-110  -180 0
-100  -180 0
-90  -180 0
-80  -180 0
-70  -180 0
-60  -180 0
-50  -180 0
-40  -180 0
-30  -180 0
-20  -180 0
-10  -180 0
0  -180 0
10  -180 0
20  -180 0
30  -180 0
40  -180 0
50  -180 0
60  -180 0
70  -180 0
80  -180 0
90  -180 0
100  -180 0
110  -180 0
120  -180 0
130  -180 0
140  -180 0
150  -180 0
160  -180 0
170  -180 0
180  -180 0
190  -180 0
200  -180 0

-200  -170 0
-190  -170 0
-180  -170 0
-170  -170 0
-160  -170 0
-150  -170 0
-140  -170 0
-130  -170 0
-120  -170 0
-110  -170 0
-100  -170 0
-90  -170 0
-80  -170 0
-70  -170 0
-60  -170 0
-50  -170 0
-40  -170 0
-30  -170 0
-20  -170 0
-10  -170 0
0  -170 0
10  -170 0
20  -170 0
30  -170 0
40  -170 0
50  -170 0
60  -170 0
70  -170 0
80  -170 0
90  -170 0
100  -170 0
110  -170 0
120  -170 0
130  -170 0
140  -170 0
150  -170 0
160  -170 0
170  -170 0
180  -170 0
190  -170 0
200  -170 0

-200  -160 0
-190  -160 0
-180  -160 0
-170  -160 0
-160  -160 0
-150  -160 0
-140  -160 0
-130  -160 0
-120  -160 0
-110  -160 0
-100  -160 0
-90  -160 0
-80  -160 0
-70  -160 0
-60  -160 0
-50  -160 0
-40  -160 0
-30  -160 0
-20  -160 0
-10  -160 0
0  -160 0
10  -160 0
20  -160 0
30  -160 0
40  -160 0
50  -160 0
60  -160 0
70  -160 0
80  -160 0
90  -160 0
100  -160 0
110  -160 0
120  -160 0
130  -160 0
140  -160 0
150  -160 0
160  -160 0
170  -160 0
180  -160 0
190  -160 0
200  -160 0

-200  -150 0
-190  -150 0
-180  -150 0
-170  -150 0
-160  -150 0
-150  -150 0
-140  -150 0
-130  -150 0
-120  -150 0
-110  -150 0
-100  -150 0
-90  -150 0
-80  -150 0
-70  -150 0
-60  -150 0
-50  -150 0
-40  -150 0
-30  -150 0
-20  -150 0
-10  -150 0
0  -150 0
10  -150 0
20  -150 0
30  -150 0
40  -150 0
50  -150 0
60  -150 0
70  -150 0
80  -150 0
90  -150 0
100  -150 0
110  -150 0
120  -150 0
130  -150 0
140  -150 0
150  -150 0
160  -150 0
170  -150 0
180  -150 0
190  -150 0
200  -150 0

-200  -140 0
-190  -140 0
-180  -140 0
-170  -140 0
-160  -140 0
-150  -140 0
-140  -140 0
-130  -140 0
-120  -140 0
-110  -140 0
-100  -140 0
-90  -140 0
-80  -140 0
-70  -140 0
-60  -140 0
-50  -140 0
-40  -140 0
-30  -140 0
-20  -140 0
